"2022年12月12日(月)ニュース・連絡明日はあそぼう会➂

上田市立東塩田小学校
http://www.school.umic.jp/higashishioda/news/20221212-154204.php"
"

飯田市立龍江小学校
https://tatsue-es.iidacity-educationboard.com/676-2/"
"

飯田市立龍江小学校
https://tatsue-es.iidacity-educationboard.com/676-2/"
"2022年12月12日(月)ニュース・連絡明日はあそぼう会➂

上田市立東塩田小学校
http://www.school.umic.jp/higashishioda/news/20221212-154204.php"
"

飯田市立龍江小学校
https://tatsue-es.iidacity-educationboard.com/676-2/"
"2022年12月12日(月)ニュース・連絡明日はあそぼう会➂

上田市立東塩田小学校
http://www.school.umic.jp/higashishioda/news/20221212-154204.php"
"

飯田市立龍江小学校
https://tatsue-es.iidacity-educationboard.com/676-2/"
"自らより良い学校を作る子ども

グリーン・ヒルズ小中学校
http://greenhills-es.sblo.jp/article/190019960.html"
"インドと日本から貧困の解決を考えよう

グリーン・ヒルズ小中学校
http://greenhills-es.sblo.jp/article/189965107.html"
"野尻湖でSUP体験！

グリーン・ヒルズ小中学校
http://greenhills-es.sblo.jp/article/189782754.html"
"夏休みを終えて、笑顔が戻る処暑の頃

グリーン・ヒルズ小中学校
http://greenhills-es.sblo.jp/article/189766166.html"
"授業参観を実施しました。

グリーン・ヒルズ小中学校
http://greenhills-es.sblo.jp/article/189672796.html"
"


お知らせ
活動レポート
2022.12.23


【２年生】今年も待ってました！



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/2074/"
"


お知らせ
活動レポート
2022.12.23


【１年生】２学期が終わりました



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/2071/"
"


保護者の方へ
活動レポート
2022.12.22


【5年生】レクリエーション



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/2058/"
"


お知らせ
活動レポート
2022.12.21


【３年生】他の学年との交流！！



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/2048/"
"


お知らせ
活動レポート
2022.12.20


【4年生】初めてのマラソン大会、がんばりました



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/2041/"
"


お知らせ
活動レポート
2022.12.13


【6年生】台湾の小学生と国際交流！その2



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/2034/"
"


お知らせ
活動レポート
2022.12.13


【6年生】オンラインでミュージカル鑑賞！



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/2030/"
"


お知らせ
保護者の方へ
活動レポート
2022.11.29


【4、5、6年生】マラソン大会本番に向けて



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/2017/"
"


保護者の方へ
活動レポート
2022.11.28


【３年生】ヨガで気分スッキリ♪



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/2012/"
"


お知らせ
活動レポート
2022.11.25


【２年生】全力チャレンジ！秋に親しみました(*^^*)



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/1999/"
"


お知らせ
入試情報
2022.09.22


第６・７回オープンスクールのお知らせ



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/1763/"
"


お知らせ
入試情報
2022.08.30


オープンスクール⑤学校・入試説明会小中高施設見学のご案内



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/1715/"
"


お知らせ
入試情報
2022.07.04


第3回オープンスクールの授業体験の内容を公開いたします！



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/1537/"
"


お知らせ
入試情報
2022.06.12


令和5年度より、指定外のランドセル使用を選択できるように検討しています



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/1410/"
"


お知らせ
入試情報
2022.06.03


第2回オープンスクールのタイムテーブルを公開いたします



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/1286/"
"


お知らせ
入試情報
2022.05.05


5月14日(土)オープンスクール当日の受付票を掲載させていただきます



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/1225/"
"


お知らせ
入試情報
2022.04.28


5月14日オープンスクールの体験ブース一覧とタイムテーブルを公開いたします！



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/1212/"
"


お知らせ
入試情報
2022.04.25


【入試情報】令和５年度長野日本大学小学校児童募集要項を公開させていただきます



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/1184/"
"


お知らせ
入試情報
2021.11.10


【入試情報】第Ⅲ期入学試験を行います



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/281/"
"


お知らせ
入試情報
2021.09.21


【入試情報】10/9第5回オープンスクールを開催します



長野日本大学小学校
https://www.nagano-nichidai.ed.jp/naganosho/news/103/"
"年末年始の問い合わせ対応について

大日向小学校・大日向中学校
https://www.jenaplanschool.ac.jp/news/news/20221224/"
"【大日向中学校】2023年度の生徒2次募集を開始しました

大日向小学校・大日向中学校
https://www.jenaplanschool.ac.jp/news/news/221209/"
"大日向食堂｜今月の献立&食堂だより

大日向小学校・大日向中学校
https://www.jenaplanschool.ac.jp/news/shokudo/menu/"
"大日向学校新聞｜バックナンバー

大日向小学校・大日向中学校
https://www.jenaplanschool.ac.jp/news/news/newspaper/"
"【大日向中学校】2023年度の生徒募集を開始しました

大日向小学校・大日向中学校
https://www.jenaplanschool.ac.jp/news/news/221107/"
"【情報公開】2021年度（令和3年度）決算報告

大日向小学校・大日向中学校
https://www.jenaplanschool.ac.jp/news/corporate/settlement2021/"
"プルーンに関する探究活動（中学校／ワールドオリエンテーションの一場面）

大日向小学校・大日向中学校
https://www.jenaplanschool.ac.jp/news/life/report_221004/"
"【大日向小学校】2023年度の児童募集を開始しました

大日向小学校・大日向中学校
https://www.jenaplanschool.ac.jp/news/news/220922/"
"2022年12月12日(月)ニュース・連絡明日はあそぼう会➂

上田市立東塩田小学校
http://www.school.umic.jp/higashishioda/news/20221212-154204.php"
"

飯田市立龍江小学校
https://tatsue-es.iidacity-educationboard.com/676-2/"
"2022年12月12日(月)ニュース・連絡明日はあそぼう会➂

上田市立東塩田小学校
http://www.school.umic.jp/higashishioda/news/20221212-154204.php"
"

飯田市立龍江小学校
https://tatsue-es.iidacity-educationboard.com/676-2/"
"2022年12月12日(月)ニュース・連絡明日はあそぼう会➂

上田市立東塩田小学校
http://www.school.umic.jp/higashishioda/news/20221212-154204.php"
"

飯田市立龍江小学校
https://tatsue-es.iidacity-educationboard.com/676-2/"
"2022年12月12日(月)ニュース・連絡明日はあそぼう会➂

上田市立東塩田小学校
http://www.school.umic.jp/higashishioda/news/20221212-154204.php"
"

飯田市立龍江小学校
https://tatsue-es.iidacity-educationboard.com/676-2/"
"
音楽会


信州大学附属松本小学校
https://www.shinshu-u.ac.jp/faculty/education/matsu-sho/news/event/post-62.html"
"
２学期終業式


信州大学附属松本小学校
https://www.shinshu-u.ac.jp/faculty/education/matsu-sho/news/cat16766/post-63.html"
"2023年1月5日(木)全校行事３学期始業式（１／５）

上田市立第六中学校
http://www.school.umic.jp/ueda6/news/zenko/20230105-114933.php"
"2022年12月12日(月)ニュース・連絡明日はあそぼう会➂

上田市立東塩田小学校
http://www.school.umic.jp/higashishioda/news/20221212-154204.php"
"

飯田市立龍江小学校
https://tatsue-es.iidacity-educationboard.com/676-2/"
"2023年1月1日(日)トップ写真１月トップ写真

上田市立豊殿小学校
http://www.school.umic.jp/houden/topphoto/20230101-144237.php"
"今年もよろしくお願いします

飯田市立飯田西中学校
https://iidanishi-jh.iidacity-educationboard.com/%e4%bb%8a%e5%b9%b4%e3%82%82%e3%82%88%e3%82%8d%e3%81%97%e3%81%8f%e3%81%8a%e9%a1%98%e3%81%84%e3%81%97%e3%81%be%e3%81%99/"
"明けましておめでとうございます

飯田市立座光寺小学校
https://zakoji-es.iidacity-educationboard.com/%e6%98%8e%e3%81%91%e3%81%be%e3%81%97%e3%81%a6%e3%81%8a%e3%82%81%e3%81%a7%e3%81%a8%e3%81%86%e3%81%94%e3%81%96%e3%81%84%e3%81%be%e3%81%99/"
"2023年1月5日(木)ニュース・連絡３学期がスタートしました

上田市塩田西小学校
http://www.school.umic.jp/shiodanishi/news/20230105-154243.php"
"3学期始業式

飯田市立上久堅小学校
https://kamihisakata-es.iidacity-educationboard.com/3%e5%ad%a6%e6%9c%9f%e5%a7%8b%e6%a5%ad%e5%bc%8f/"
"2023年－新年よろしくお願いいたします－

飯田市立上久堅小学校
https://kamihisakata-es.iidacity-educationboard.com/2023%e5%b9%b4%ef%bc%8d%e6%96%b0%e5%b9%b4%e3%82%88%e3%82%8d%e3%81%97%e3%81%8f-%e3%81%8a%e9%a1%98%e3%81%84%e3%81%84%e3%81%9f%e3%81%97%e3%81%be%e3%81%99%ef%bc%8d/"
"保護中:第14回清流祭ライブ配信URL(リンク)

飯田市立遠山中学校
https://toyama-jh.iidacity-educationboard.com/%e7%ac%ac14%e5%9b%9e%e6%b8%85%e6%b5%81%e7%a5%ad%e3%83%a9%e3%82%a4%e3%83%96%e9%85%8d%e4%bf%a1url%e3%83%aa%e3%83%b3%e3%82%af/"
"第14回清流祭ライブ配信について

飯田市立遠山中学校
https://toyama-jh.iidacity-educationboard.com/%e7%ac%ac14%e5%9b%9e%e6%b8%85%e6%b5%81%e7%a5%ad%e3%83%a9%e3%82%a4%e3%83%96%e9%85%8d%e4%bf%a1url%e3%81%ab%e3%81%a4%e3%81%84%e3%81%a6/"
